Name,Accuracy,Status,Leak,Leak Link,domain,datetime,slopes_before,slopes_after,class,stock_of_prev_day,Sentiment Twitter,Sentiment SST2,Sentiment Financial News,Manual Label
🏀 Mark Gurman,86.4,✅,2020 iPhone 12 will have dual cameras,https://www.bloomberg.com/news/articles/2020-04-13/apple-plans-ipad-like-design-for-next-iphone-smaller-homepod,bloomberg.com,13.04.20,1.265714286,-0.326071429,Negative,68.31,neutral,POSITIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,⛔️,AirPods Pro 2 coming Q4 2021 or Q1 2022,https://www.macrumors.com/2020/04/23/kuo-airpods-third-gen-first-half-2020/,macrumors.com,23.04.20,-0.569285714,0.610357143,Positive,68.76,neutral,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,⏳,Apple will release most products in history in Fall 2022,https://www.bloomberg.com/news/newsletters/2022-01-23/when-will-apple-aapl-release-new-iphone-se-5g-and-ipad-air-apple-spring-event-kyrmlang,bloomberg.com,23.01.22,-2.198571429,2.843214286,Significantly Positive,162.41,positiv,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,"Apple will hold event on March 8, 2022",https://appletrack.com/apple-march-8-event-scheduled-for-new-products/,appletrack.com,04.02.22,1.6325,-0.688571429,Negative,172.39,neutral,POSITIVE,neutral,positive
🧻 Jon Prosser,69,⛔️,New AirPods ready to ship in May 2020,https://twitter.com/jon_prosser/status/1258004593784623106,twitter.com,06.05.20,0.761428571,0.319642857,Positive,75.16,positiv,POSITIVE,neutral,positive
🕘 9to5Mac,82.8,✅,iOS 14 CarKey will have BMW as partner,https://9to5mac.com/2020/03/23/ios-14-bmw-carkey/,9to5mac.com,23.03.20,-1.739285714,0.962857143,Positive,56.09,neutral,POSITIVE,neutral,positive
🕘 9to5Mac,82.8,✅,iOS 14 will have new home screen list view,https://9to5mac.com/2020/03/10/ios-14-home-screen-list-view/,9to5mac.com,10.03.20,-0.897142857,-1.491785714,Significantly Negative,71.33,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,⏳,2022 Mac mini will have 10-core CPU,https://www.bloomberg.com/news/articles/2021-05-18/apple-readies-macbook-pro-macbook-air-revamps-with-faster-chips,bloomberg.com,18.05.21,-0.021428571,0.364642857,Positive,124.85,neutral,POSITIVE,neutral,positive
🧻 Jon Prosser,69,⛔️,2020 iPhones have 4K240p slow-mo,https://appletrack.com/iphone-12-pro-max-screenshots-show-120hz-support-4k240p-slow-mo/,appletrack.com,25.08.20,2.14,1.395,Significantly Positive,124.83,neutral,NEGATIVE,neutral,positive
🖥 Sonny Dickson,54.5,✅,New iMac will have T2 chip,https://twitter.com/SonnyDickson/status/1270339867491184644,twitter.com,09.06.20,0.831428571,0.253571429,Positive,86,neutral,NEGATIVE,neutral,positive
🧻 Jon Prosser,69,✅,Apple Watch SE doesn’t have ECG,https://twitter.com/jon_prosser/status/1305883494929891328,twitter.com,15.09.20,-0.589285714,-0.934285714,Negative,115.54,neutral,NEGATIVE,neutral,negative
👨‍💻 Ming-Chi Kuo,72.5,⏳,2022 iPhones will have autofocus on selfie camera,https://appletrack.com/2022-iphone-may-remove-notch-in-favor-of-hole-punch-design/,appletrack.com,01.03.21,-0.735357143,-1.3675,Significantly Negative,127.79,neutral,NEGATIVE,neutral,positive
🔢 DigiTimes,62.5,✅,AirPods 3 will have Pro design but no ANC,https://www.macrumors.com/2020/04/21/airpods-pro-without-noise-cancellation-rumor/,macrumors.com,21.04.20,-0.326071429,0.634642857,Positive,67.09,neutral,NEGATIVE,neutral,negative
🧻 Jon Prosser,69,⛔️,2020 iPhone 6.1-inch will cost $749,https://twitter.com/jon_prosser/status/1255835846558855169,twitter.com,30.04.20,0.660714286,0.766071429,Positive,73.45,neutral,NEGATIVE,neutral,positive
🌳 Wedbush Securities,45.4,⛔️,2020 iPhones will ship in “early October”,https://9to5mac.com/2020/06/16/apple-analyst-no-earpods-iphone-12/,9to5mac.com,16.06.20,0.356071429,0.544642857,Positive,88.02,neutral,POSITIVE,neutral,positive
🔢 DigiTimes,62.5,⛔️,Apple will host series of events in September 2021,https://www.macrumors.com/2021/08/20/digitmes-mulitple-apple-events-for-september/,macrumors.com,20.08.21,-0.416428571,0.374642857,Positive,148.19,neutral,POSITIVE,neutral,positive
🕘 9to5Mac,82.8,✅,AirTags can play sound to be located,https://9to5mac.com/2020/03/10/ios-14-iphone-9-ipad-pro-apple-tv/,9to5mac.com,10.03.20,-0.897142857,-1.491785714,Significantly Negative,71.33,neutral,POSITIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,✅,2020 iPhones don’t get 120Hz,https://9to5mac.com/2020/09/14/kuo-5-4-iphone-12-to-feature-narrower-notch-power-button-touch-id-coming-to-more-ipads-in-2021/,9to5mac.com,14.09.20,-1.2075,-0.959285714,Negative,115.36,neutral,NEGATIVE,neutral,negative
🏀 Mark Gurman,86.4,⛔️,Apple AR/VR headset will come at in-person event,https://www.bloomberg.com/news/newsletters/2021-03-31/apple-wwdc-why-virtual-launch-events-aren-t-quite-the-same,bloomberg.com,31.03.21,-0.026785714,1.758571429,Significantly Positive,122.15,neutral,POSITIVE,neutral,positive
🧻 Jon Prosser,69,✅,"Apple Watch SE coming at Apple September 15, 2020 event",https://twitter.com/jon_prosser/status/1305883494929891328,twitter.com,15.09.20,-0.589285714,-0.934285714,Negative,115.54,neutral,POSITIVE,neutral,positive
🍍 Max Weinbach,69,✅,2020 iPhones will have better slow-mo in low light,https://twitter.com/PineLeaks/status/1259316612567531522,twitter.com,10.05.20,0.766071429,0.013928571,Neutral,77.53,positiv,NEGATIVE,positive,positive
🏀 Mark Gurman,86.4,⏳,Apple Watch Explorer Edition will have more rubberized casing,https://www.macrumors.com/2021/03/26/apple-launch-apple-watch-extreme-sports-2021/,macrumors.com,26.03.21,-0.002142857,0.968571429,Positive,121.21,neutral,NEGATIVE,neutral,negative
👨‍💻 Ming-Chi Kuo,72.5,✅,Macs will get USB-4 in 2022,https://www.macrumors.com/2020/03/26/kuo-several-arm-based-macs-2021/,macrumors.com,26.03.20,0.485357143,-0.631071429,Negative,64.61,neutral,NEGATIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,⛔️,AirTag coming in first half of 2020,https://9to5mac.com/2020/01/29/kuo-forecasts-new-apple-products-coming-this-year-including-wireless-charging-mat-uwb-tags-and-high-end-headphones/,9to5mac.com,29.01.20,0.116071429,0.063214286,Neutral,81.08,neutral,NEGATIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,✅,AirPods 3 will have updated internals,https://www.macrumors.com/2020/04/23/kuo-airpods-third-gen-first-half-2020/,macrumors.com,23.04.20,-0.569285714,0.610357143,Positive,68.76,neutral,POSITIVE,neutral,positive
🕘 9to5Mac,82.8,✅,iOS 14 accessibility camera can detect hand gestures,https://9to5mac.com/2020/03/10/ios-14-wallpapers-third-parties-improved-accessibility-alipay-apple-pay/,9to5mac.com,10.03.20,-0.897142857,-1.491785714,Significantly Negative,71.33,neutral,POSITIVE,neutral,positive
🦅 Barclays,55.6,✅,2021 iPhones won’t have EarPods in the box,https://www.macrumors.com/2020/01/16/2020-iphones-refreshed-face-id-system-rumor/,macrumors.com,16.01.20,0.373571429,-0.151428571,Negative,78.81,neutral,NEGATIVE,neutral,negative
🏀 Mark Gurman,86.4,⛔️,Apple TV 6 remote will have Find My,https://www.bloomberg.com/news/articles/2020-09-01/apple-targets-75-million-5g-iphones-for-fall-product-blitz,bloomberg.com,01.09.20,1.131071429,-3.510357143,Significantly Negative,134.18,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,⏳,2022 MacBook Air will be more expensive than $999,https://www.bloomberg.com/news/articles/2021-01-22/apple-aapl-plans-new-macbook-air-with-magsafe-macbook-pro-with-sd-card-slot,bloomberg.com,22.01.21,1.619642857,-1.527857143,Significantly Negative,139.07,neutral,NEGATIVE,neutral,negative
🔢 DigiTimes,62.5,⛔️,23-inch iMac coming in second half of 2020,https://www.macrumors.com/2020/06/12/imac-ipad-air-ipad-mini-late-2020/,macrumors.com,12.06.20,0.6925,0.654642857,Positive,84.7,neutral,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,Apple will announce September event week of 9/6,https://twitter.com/markgurman/status/1302685752485003264?s=20,twitter.com,06.09.20,-0.630357143,-0.134285714,Negative,120.96,neutral,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,2020 iPhones will release weeks later than normal,https://www.bloomberg.com/news/articles/2020-04-13/apple-plans-ipad-like-design-for-next-iphone-smaller-homepod,bloomberg.com,13.04.20,1.265714286,-0.326071429,Negative,68.31,neutral,NEGATIVE,neutral,negative
🏀 Mark Gurman,86.4,✅,2021 MacBook Pro will have brighter and higher-contrast displays,https://www.bloomberg.com/news/articles/2021-01-15/apple-macbook-pros-with-magsafe-return-in-the-works,bloomberg.com,15.01.21,-0.561071429,3.045714286,Significantly Positive,127.14,positiv,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,Apple Watch Series 7 will launch alongside iPhone 13 but ship later,https://www.bloomberg.com/news/newsletters/2021-09-05/are-teslas-compatible-with-apple-iphone-apple-music-and-carplay-kt7isyhp,bloomberg.com,05.09.21,1.063214286,-1.481428571,Significantly Negative,154.3,neutral,NEGATIVE,neutral,negative
🕘 9to5Mac,82.8,✅,iOS 15 name WebKit code reference,https://9to5mac.com/2021/03/29/ios-15-and-macos-12-naming-mentions/,9to5mac.com,29.03.21,-0.075357143,1.282142857,Significantly Positive,121.39,neutral,NEGATIVE,neutral,positive
🧻 Jon Prosser,69,✅,Apple over-ear headphones have magnetic ear cups,https://twitter.com/jon_prosser/status/1306281069382172677?s=20,twitter.com,16.09.20,-0.134285714,-0.471428571,Negative,112.13,neutral,NEGATIVE,neutral,positive
🍍 Max Weinbach,69,✅,2020 iPhones have better subject section in low light,https://twitter.com/PineLeaks/status/1259316614576648192,twitter.com,10.05.20,0.766071429,0.013928571,Neutral,77.53,positiv,NEGATIVE,positive,positive
👨‍💻 Ming-Chi Kuo,72.5,⏳,Apple AR/VR headset will have Dual-4K Micro OLED displays,https://appletrack.com/kuo-apples-ar-headset-will-launch-in-q4-of-2022/,appletrack.com,27.11.21,0.677142857,1.068928571,Significantly Positive,156.81,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,⏳,HomePod + Apple TV combo will include camera for video calls,https://www.bloomberg.com/news/articles/2021-04-12/apple-working-on-combined-tv-box-speaker-to-revive-home-efforts,bloomberg.com,12.04.21,1.5375,0.305714286,Positive,131.24,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,First ARM Mac announced at WWDC 2020,https://www.bloomberg.com/news/articles/2020-06-09/apple-plans-to-announce-move-to-its-own-mac-chips-at-wwdc?cmpid=socialflow-twitter-business&utm_medium=social&utm_campaign=socialflow-organic&utm_content=tech&utm_source=twitter&cmpid%3D=socialflow-twitter-tech,bloomberg.com,09.06.20,0.831428571,0.253571429,Positive,86,neutral,POSITIVE,neutral,positive
🕘 9to5Mac,82.8,✅,watchOS 7 apps are no longer extensions,https://9to5mac.com/2020/03/09/apple-watch-series-6-watchos-7-features/,9to5mac.com,09.03.20,-0.335,-1.103214286,Significantly Negative,66.54,neutral,NEGATIVE,neutral,positive
🔢 DigiTimes,62.5,✅,AirPods 3 coming at Apple Fall event,https://appletrack.com/airpods-3-may-debut-alongside-iphone-13-at-september-event/,appletrack.com,24.07.21,0.143214286,-0.2325,Negative,148.56,neutral,POSITIVE,neutral,positive
🕘 9to5Mac,82.8,⛔️,iOS 14 3rd party wallpaper integration,https://9to5mac.com/2020/03/10/ios-14-wallpapers-third-parties-improved-accessibility-alipay-apple-pay/,9to5mac.com,10.03.20,-0.897142857,-1.491785714,Significantly Negative,71.33,neutral,NEGATIVE,neutral,positive
🌳 Wedbush Securities,45.4,✅,"New iMac released at April 20, 2021 event",https://www.macrumors.com/2021/04/19/wedbush-event-ipads-price-increase-and-surprises/,macrumors.com,19.04.21,0.409285714,0.096071429,Neutral,134.84,neutral,POSITIVE,neutral,positive
🌳 Wedbush Securities,45.4,⛔️,New iPad Pro will have updated Apple Pencil,https://www.macrumors.com/2021/04/19/wedbush-event-ipads-price-increase-and-surprises/,macrumors.com,19.04.21,0.409285714,0.096071429,Neutral,134.84,positiv,POSITIVE,neutral,positive
🔢 DigiTimes,62.5,✅,2020 iPad Pro in production in February,https://www.macrumors.com/2020/02/17/new-ipad-pro-expected-around-march/,macrumors.com,17.02.20,0.130357143,-1.538571429,Significantly Negative,81.24,neutral,POSITIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,✅,2021 iPhones Pro have 1TB storage,https://appletrack.com/rumor-says-iphone-13-will-start-at-128gb-storage-iphone-13-pro-gets-1tb/,appletrack.com,12.09.21,-0.320357143,-1.131785714,Significantly Negative,148.97,neutral,NEGATIVE,neutral,positive
🧻 Jon Prosser,69,✅,New Apple products coming this week,https://twitter.com/jon_prosser/status/1239295726355722251,twitter.com,15.03.20,-1.046428571,-0.539642857,Negative,69.49,positiv,POSITIVE,neutral,positive
🧻 Jon Prosser,69,⛔️,New Apple TV 4K is ready to ship in May 2020,https://twitter.com/jon_prosser/status/1258366598710206464,twitter.com,07.05.20,0.6275,0.030357143,Neutral,75.94,positiv,POSITIVE,neutral,positive
🕘 9to5Mac,82.8,⏳,2022 iPad Pro will have MagSafe through Apple logo,https://9to5mac.com/2022/01/14/apple-hits-roadblock-in-plans-to-redesign-ipad-pro-with-magsafe/,9to5mac.com,14.01.22,0.235357143,-2.144642857,Significantly Negative,173.07,neutral,NEGATIVE,neutral,positive
🧻 Jon Prosser,69,✅,MacBook Pro embargo ends on October 25 at 9am ET,https://twitter.com/jon_prosser/status/1450201403591479302?s=20,twitter.com,18.10.21,0.616428571,0.267857143,Positive,146.55,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,Apple One will have savings of $2-5,https://www.bloomberg.com/news/articles/2020-08-13/apple-readies-apple-one-subscription-bundles-to-boost-services?srnd=technology-vp,bloomberg.com,13.08.20,0.405,1.282857143,Significantly Positive,115.01,positiv,NEGATIVE,positive,positive
🕘 9to5Mac,82.8,✅,iOS 14 accessibility on-device audiogram,https://9to5mac.com/2020/03/10/ios-14-wallpapers-third-parties-improved-accessibility-alipay-apple-pay/,9to5mac.com,10.03.20,-0.897142857,-1.491785714,Significantly Negative,71.33,neutral,POSITIVE,neutral,positive
🦅 Barclays,55.6,✅,2021 iPhone Pro will get 2.5x optical zoom and ƒ/2.2 aperture,https://www.macrumors.com/2021/02/02/iphone-13-upgraded-ultra-wide-lens-rumor/,macrumors.com,02.02.21,-1.854642857,0.173571429,Positive,134.99,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,iOS 15 Lock Screen redesign delayed,https://www.bloomberg.com/news/articles/2021-06-05/apple-to-boost-ipad-features-privacy-tools-at-developer-event,bloomberg.com,05.06.21,-0.211071429,0.675714286,Positive,125.89,negativ,NEGATIVE,negative,negative
🕘 9to5Mac,82.8,✅,iOS 14 HomeKit has “Night Shift” for lights,https://9to5mac.com/2020/03/10/ios-14-homekit/,9to5mac.com,10.03.20,-0.897142857,-1.491785714,Significantly Negative,71.33,neutral,NEGATIVE,neutral,positive
🐟 Ross Young,92.9,✅,2021 iPad mini will have slimmer bezels ,https://twitter.com/DSCCRoss/status/1419728325379969031?s=20,twitter.com,26.07.21,0.738214286,-0.2325,Negative,148.99,neutral,NEGATIVE,neutral,positive
🕘 9to5Mac,82.8,✅,macOS 12 will be called Mammoth or Monterey,https://appletrack.com/macos-12-could-be-called-mammoth-or-monterey/,appletrack.com,01.06.21,-0.358928571,0.509642857,Positive,124.28,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,2021 iPad 9 will release near the end of the year,https://www.bloomberg.com/news/articles/2021-06-04/apple-working-on-ipad-pro-with-wireless-charging-new-ipad-mini?srnd=technology-vp,bloomberg.com,04.06.21,-0.211071429,0.572857143,Positive,125.89,neutral,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,2021 MacBook Pro will have 16/32-core GPU,https://www.bloomberg.com/news/articles/2021-05-18/apple-readies-macbook-pro-macbook-air-revamps-with-faster-chips,bloomberg.com,18.05.21,-0.021428571,0.364642857,Positive,124.85,neutral,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,2021 MacBook Pro will have up to 64GB RAM,https://www.bloomberg.com/news/articles/2021-05-18/apple-readies-macbook-pro-macbook-air-revamps-with-faster-chips,bloomberg.com,18.05.21,-0.021428571,0.364642857,Positive,124.85,neutral,NEGATIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,✅,2021 iMac will launch in late 2020/early 2021,https://www.macrumors.com/2020/06/21/apple-arm-13-inch-macbook-pro-imac/,macrumors.com,21.06.20,0.678214286,0.016071429,Neutral,87.43,neutral,POSITIVE,neutral,positive
🌳 Wedbush Securities,45.4,✅,"AirTags will be released at April 20, 2021",https://www.macrumors.com/2021/04/19/wedbush-event-ipads-price-increase-and-surprises/,macrumors.com,19.04.21,0.409285714,0.096071429,Neutral,134.84,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,⛔️,New MacBook Air will debut near end of 2021,https://www.bloomberg.com/news/articles/2021-05-18/apple-readies-macbook-pro-macbook-air-revamps-with-faster-chips,bloomberg.com,18.05.21,-0.021428571,0.364642857,Positive,124.85,neutral,POSITIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,✅,2020 iPhones get improved autofocus,https://9to5mac.com/2020/07/21/kuo-camera-lens-iphone/,9to5mac.com,22.07.20,0.036785714,0.064285714,Neutral,97.27,positiv,POSITIVE,positive,positive
👨‍💻 Ming-Chi Kuo,72.5,✅,2021 iPhones no USB-C,https://appletrack.com/iphone-13-may-get-120hz-display-new-ultra-wide-lens-larger-batteries/,appletrack.com,01.03.21,-0.735357143,-1.3675,Significantly Negative,127.79,neutral,NEGATIVE,neutral,negative
🏀 Mark Gurman,86.4,✅,Apple Studio coming March 8,https://appletrack.com/gurman-mac-studio-and-new-monitor-coming-at-peek-performance-event-tomorrow/,appletrack.com,07.03.22,-0.625714286,-1.231785714,Significantly Negative,159.3,neutral,POSITIVE,neutral,positive
🍍 Max Weinbach,69,⛔️,2020 iPhones will have better Face ID angle detection,https://twitter.com/PineLeaks/status/1259316610306842626,twitter.com,10.05.20,0.766071429,0.013928571,Neutral,77.53,positiv,NEGATIVE,neutral,positive
🕘 9to5Mac,82.8,✅,"iPhone SE 2 will come in white, black and (RED)",https://9to5mac.com/2020/04/02/exclusive-iphone-9-launch-imminent-2020-iphone-se-in-red-white-and-black/,9to5mac.com,02.04.20,-0.270714286,1.265714286,Significantly Positive,61.23,neutral,NEGATIVE,neutral,positive
🧻 Jon Prosser,69,✅,2020 iPhones have same notch,https://twitter.com/jon_prosser/status/1298400181856198657,twitter.com,25.08.20,2.14,1.395,Significantly Positive,124.83,neutral,NEGATIVE,neutral,negative
🏀 Mark Gurman,86.4,✅,iPhone SE 2 will have A13 chip,https://www.bloomberg.com/news/articles/2020-01-21/apple-planning-to-make-original-podcasts-promoting-its-tv-shows,bloomberg.com,21.01.20,0.221428571,0.116071429,Positive,79.14,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,⏳,Future Mac will have cellular connectivity,https://www.bloomberg.com/news/articles/2021-01-22/apple-aapl-plans-new-macbook-air-with-magsafe-macbook-pro-with-sd-card-slot,bloomberg.com,22.01.21,1.619642857,-1.527857143,Significantly Negative,139.07,positiv,POSITIVE,neutral,positive
🧻 Jon Prosser,69,⛔️,Apple’s Pro apps coming to iPad by April 2021,https://twitter.com/jon_prosser/status/1252931201708560385,twitter.com,22.04.20,-0.666785714,0.660714286,Positive,69.03,neutral,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,2020 iPhone 12 will have aluminum edges,https://www.bloomberg.com/news/articles/2020-10-09/apple-prepares-to-launch-5g-iphones-into-unready-u-s-market?sref=Caq8vEYb,bloomberg.com,09.10.20,0.107857143,-0.504285714,Negative,116.97,neutral,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,⏳,Apple Watch Explorer Edition is coming in 2021 or 2022,https://www.macrumors.com/2021/03/26/apple-launch-apple-watch-extreme-sports-2021/,macrumors.com,26.03.21,-0.002142857,0.968571429,Positive,121.21,neutral,POSITIVE,neutral,positive
🕘 9to5Mac,82.8,✅,"iOS 14 accessibility can detect sounds like baby crying, alarms and sirens",https://9to5mac.com/2020/03/10/ios-14-wallpapers-third-parties-improved-accessibility-alipay-apple-pay/,9to5mac.com,10.03.20,-0.897142857,-1.491785714,Significantly Negative,71.33,neutral,NEGATIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,✅,iPhone SE 3 will have faster chip,https://appletrack.com/iphone-se-3-likely-coming-in-2022-with-5g-similar-design/,appletrack.com,01.03.21,-0.735357143,-1.3675,Significantly Negative,127.79,positiv,NEGATIVE,neutral,positive
🍍 Max Weinbach,69,✅,2021 iPhones will have better Night Mode color science,https://twitter.com/PineLeaks/status/1435302664808632323?s=20,twitter.com,07.09.21,1.016071429,-1.481428571,Significantly Negative,156.69,positiv,NEGATIVE,positive,positive
🏀 Mark Gurman,86.4,✅,New Mac Pro will look like Power Mac G4 cube with Apple Silicon,https://www.bloomberg.com/news/articles/2021-01-15/apple-plans-redesigned-imac-new-mac-pro-smaller-mac-pro-cheaper-monitor,bloomberg.com,15.01.21,-0.561071429,3.045714286,Significantly Positive,127.14,neutral,POSITIVE,neutral,positive
🧻 Jon Prosser,69,⛔️,New Apple TV 4K will have A12X processor,https://twitter.com/jon_prosser/status/1258366598710206464,twitter.com,07.05.20,0.6275,0.030357143,Neutral,75.94,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,AirPods 3 won’t have noise cancellation,https://www.bloomberg.com/news/articles/2020-10-26/apple-developing-smaller-airpods-pro-revamped-entry-level-model?utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social&cmpid%3D=socialflow-twitter-tech&utm_content=tech,bloomberg.com,26.10.20,-0.555357143,-1.136785714,Significantly Negative,115.05,neutral,POSITIVE,neutral,negative
👨‍💻 Ming-Chi Kuo,72.5,⏳,2023 iPhones will have true all-screen design with no cutouts,https://appletrack.com/2023-iphone-to-get-full-screen-design-with-no-notch-or-cutouts/,appletrack.com,01.03.21,-0.735357143,-1.3675,Significantly Negative,127.79,neutral,POSITIVE,neutral,positive
🧻 Jon Prosser,69,✅,2021 iPad mini embargo ends on September 22 at 9am EST,https://twitter.com/jon_prosser/status/1438152031668158475?s=20,twitter.com,15.09.21,-1.481428571,-0.539642857,Negative,149.03,neutral,NEGATIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,✅,iPhone SE 3 will have 4.7-inch display,https://appletrack.com/iphone-se-3-likely-coming-in-2022-with-5g-similar-design/,appletrack.com,01.03.21,-0.735357143,-1.3675,Significantly Negative,127.79,neutral,NEGATIVE,neutral,positive
❓ MacRumors,72.7,⏳,2022 iPhone won’t have SIM card slot,https://www.macrumors.com/2021/12/26/iphones-without-sim-card-slot-2022-rumor/,macrumors.com,26.12.21,-0.016071429,0.062142857,Neutral,176.28,neutral,NEGATIVE,neutral,negative
🧻 Jon Prosser,69,✅,2020 iPhones LiDAR sensor helps with autofocus and subject detect,https://appletrack.com/iphone-12-pro-max-screenshots-show-120hz-support-4k240p-slow-mo/,appletrack.com,25.08.20,2.14,1.395,Significantly Positive,124.83,positiv,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,iPadOS 15 will have redesigned Home Screen,https://www.bloomberg.com/news/articles/2021-04-22/apple-plans-notifications-ipad-home-screen-upgrades-for-ios-15?srnd=technology-vp,bloomberg.com,22.04.21,-0.118571429,-0.152142857,Negative,131.94,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,✅,iOS 15 will have upgraded notifications,https://www.bloomberg.com/news/articles/2021-04-22/apple-plans-notifications-ipad-home-screen-upgrades-for-ios-15?srnd=technology-vp,bloomberg.com,22.04.21,-0.118571429,-0.152142857,Negative,131.94,positiv,NEGATIVE,neutral,positive
🦅 Barclays,55.6,⛔️,2021 iPhones will support Wi-Fi 6E,https://www.macrumors.com/2020/12/18/iphone-13-may-support-wifi-6e-barclays/,macrumors.com,18.12.20,1.03,1.488214286,Significantly Positive,126.65,positiv,POSITIVE,neutral,positive
